,order_date,pages_visited,order_id,customer_id,tshirt_category,tshirt_price,tshirt_quantity
0,2016-09-04,9,HTS-038040-0002,038040,White T-Shirt M,20.0,1
1,2014-11-14,11,HTS-801797-0001,801797,White T-Shirt M,20.0,1
2,2017-02-26,10,HTS-vft1eu-0003,vft1eu,White T-Shirt F,18.0,3
3,2013-12-01,10,HTS-914324-0001,914324,White T-Shirt F,18.0,1
4,2015-10-22,12,HTS-88ua9r-0001,88ua9r,White T-Shirt M,20.0,1
5,2016-01-15,9,HTS-061311-0003,061311,Black T-Shirt F,17.5,4
6,2014-11-25,6,HTS-479441-0001,479441,Hoodie,23.0,19
7,2014-11-01,10,HTS-352809-0001,352809,Black T-Shirt M,19.0,2
8,2013-11-03,10,HTS-494332-0001,494332,White T-Shirt F,18.0,2
9,2013-10-02,14,HTS-463794-0001,463794,Tennis Shirt,24.0,1
10,2013-07-23,17,HTS-132885-0001,132885,White T-Shirt M,20.0,1
11,2013-11-24,17,HTS-519113-0001,519113,Black T-Shirt F,17.5,1
12,2015-11-24,15,HTS-je57lh-0001,je57lh,Hoodie,23.0,3
13,2015-10-10,8,HTS-252675-0002,252675,White T-Shirt M,20.0,3
14,2016-08-15,6,HTS-049348-0004,049348,Black T-Shirt F,17.5,1
15,2015-11-29,15,HTS-heb26i-0001,heb26i,Black T-Shirt F,17.5,1
16,2015-10-09,10,HTS-989355-0003,989355,Hoodie,23.0,2
17,2015-03-26,11,HTS-679143-0002,679143,Hoodie,23.0,1
18,2016-04-24,12,HTS-301362-0001,301362,Black T-Shirt F,17.5,1
19,2016-01-16,15,HTS-1b0lnt-0002,1b0lnt,White T-Shirt M,20.0,1
20,2015-01-17,5,HTS-198773-0002,198773,White T-Shirt M,20.0,1
21,2016-08-14,9,HTS-996602-0005,996602,Hoodie,23.0,3
22,2014-07-20,11,HTS-476084-0001,476084,White T-Shirt M,20.0,2
23,2016-05-20,14,HTS-907041-0002,907041,White T-Shirt F,18.0,3
24,2016-01-31,11,HTS-ws13bp-0002,ws13bp,Hoodie,23.0,5
25,2014-03-09,12,HTS-399607-0002,399607,White T-Shirt M,20.0,5
26,2016-05-20,16,HTS-r0lzge-0001,r0lzge,White T-Shirt M,20.0,1
27,2017-01-08,5,HTS-610587-0004,610587,Hoodie,23.0,1
28,2014-05-30,5,HTS-299053-0002,299053,Black T-Shirt M,19.0,2
29,2016-05-27,6,HTS-590680-0003,590680,Hoodie,23.0,1
30,2014-10-03,8,HTS-707341-0003,707341,Black T-Shirt M,19.0,3
31,2014-01-02,12,HTS-108837-0001,108837,Black T-Shirt M,19.0,1
32,2015-09-08,11,HTS-pq3m7c-0001,pq3m7c,Hoodie,23.0,1
